feature,importance
repayment_status_sep,0.23725902478691493
repayment_status_aug,0.12231600987893565
repayment_status_jul,0.06985612678795922
credit_limit,0.05049011856232983
repayment_status_may,0.04681907613988366
repayment_status_jun,0.045676343301015714
payment_amount_aug,0.04390164227010642
payment_amount_sep,0.042204902927036776
repayment_status_apr,0.03775485478189644
bill_amount_sep,0.03675214103737098
payment_amount_jul,0.033691894284118985
bill_amount_aug,0.03058617735679451
payment_amount_jun,0.0300241619471523
payment_amount_apr,0.02648619087483719
bill_amount_jul,0.025904173054468693
bill_amount_jun,0.024533850426920006
payment_amount_may,0.02265374210129068
bill_amount_may,0.021857082287012757
bill_amount_apr,0.021153730783572473
age,0.017742213727025155
education,0.005420671331894372
sex,0.003617656278687283
marriage,0.0032982150727757734
