model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc
gradient_boosting,0.826811111111111,0.6966207617247963,0.38451917073199654,0.4955117534095647,0.8094930819773317,0.8199555555555555,0.6694409646931859,0.3676967165142984,0.474565943169699,0.7770105053672234
logistic_regression,0.6818888888888889,0.37443146531269306,0.6529536392792938,0.4759274926424285,0.7267041986379342,0.6805333333333333,0.3724341456700289,0.6487933644124235,0.47314739890111907,0.7236948093736002
xgboost,0.9069111111111111,0.9213577506109127,0.633213351061944,0.7505380981908241,0.9633601320638562,0.8097333333333335,0.6212337207604091,0.3588553207806099,0.45473735048775443,0.7553250593141041
random_forest,0.9994222222222223,0.9977941962804187,0.9995981413976558,0.9986952450022036,0.9999810768916891,0.8117333333333333,0.644496973955011,0.33213335755080625,0.4382454697193464,0.7591146650473171
dummy_classifier,0.7788,0.0,0.0,0.0,0.5,0.7787999999999999,0.0,0.0,0.0,0.5
